time,sensor1,sensor2,sensor3,sensor4,true
1679665143,38.992018,38.992038,38.992013,38.992007,38.99201874
1679665144,38.992015,38.992036,38.992011,38.992007,38.99201639
1679665145,38.992011,38.992035,38.992011,38.992007,38.99201403
1679665146,38.992009,38.992033,38.992013,38.992006,38.99201168
1679665147,38.992007,38.992031,38.99201,38.992005,38.99200932
1679665148,38.992006,38.992033,38.992008,38.992002,38.99200696
1679665149,38.992002,38.992033,38.992004,38.992001,38.99200461
1679665150,38.991998,38.992031,38.992001,38.991999,38.99200225
1679665151,38.991996,38.992031,38.992,38.991997,38.9919999
1679665152,38.991994,38.992028,38.992,38.991996,38.99199754
1679665153,38.991993,38.992026,38.991996,38.991995,38.99199518
1679665154,38.991992,38.992023,38.991996,38.991994,38.99199283
1679665156,38.991991,38.992023,38.991998,38.991991,38.99198812
1679665157,38.991989,38.99202,38.991994,38.991989,38.99198576
1679665158,38.991988,38.992021,38.991993,38.991986,38.9919834
1679665159,38.991985,38.99202,38.991989,38.991984,38.99198105
1679665160,38.99198,38.992016,38.991986,38.991984,38.99197869
1679665161,38.991976,38.992013,38.991986,38.991982,38.99197634
1679665162,38.991974,38.992013,38.991986,38.991982,38.99197398
1679665163,38.991971,38.992011,38.991986,38.99198,38.99197162
1679665164,38.991966,38.99201,38.991988,38.991976,38.99196927
1679665165,38.991962,38.992006,38.991986,38.991973,38.99196691
1679665166,38.991959,38.992006,38.991985,38.99197,38.99196455
1679665167,38.991956,38.992003,38.991983,38.991967,38.9919622
1679665168,38.991953,38.992,38.991981,38.991965,38.99195984
1679665169,38.991951,38.991996,38.991978,38.991963,38.99195749
1679665170,38.991948,38.991994,38.991971,38.991961,38.99195513
1679665171,38.991947,38.991998,38.991968,38.99196,38.99195277
1679665172,38.991946,38.991998,38.991965,38.991959,38.99195042
1679665174,38.991943,38.991996,38.99196,38.991957,38.99194571
1679665175,38.991942,38.991996,38.991958,38.991956,38.99194335
1679665176,38.991941,38.991995,38.991958,38.991954,38.99194099
1679665177,38.991938,38.991993,38.991956,38.991952,38.99193864
1679665178,38.991936,38.991988,38.991955,38.991949,38.99193628
1679665179,38.991934,38.991988,38.991951,38.991947,38.99193393
1679665180,38.991933,38.991988,38.991948,38.991946,38.99193157
1679665181,38.991933,38.991988,38.991945,38.991943,38.99192921
1679665182,38.991931,38.991988,38.991943,38.991941,38.99192686
1679665183,38.991931,38.99199,38.991942,38.99194,38.9919245
1679665184,38.99193,38.991986,38.99194,38.991938,38.99192215
1679665185,38.991929,38.991986,38.991938,38.991937,38.99191979
1679665186,38.991927,38.991985,38.991937,38.991935,38.99191743
1679665187,38.991924,38.991981,38.991937,38.991934,38.99191508
1679665188,38.991921,38.991976,38.991935,38.991934,38.99191272
1679665189,38.99192,38.991973,38.991935,38.991933,38.99191037
1679665190,38.991917,38.991971,38.991933,38.99193,38.99190801
1679665192,38.991915,38.991965,38.991928,38.991928,38.9919033
1679665193,38.991913,38.991963,38.991928,38.991925,38.99190094
1679665194,38.991916,38.991963,38.991927,38.991923,38.99189859
1679665195,38.991918,38.991963,38.991927,38.991922,38.99189623
1679665196,38.991919,38.99196,38.991925,38.99192,38.99189387
1679665197,38.991919,38.991956,38.991922,38.991918,38.99189152
1679665198,38.991918,38.991956,38.991922,38.991916,38.99188916
1679665199,38.991916,38.991953,38.991922,38.991915,38.99188681
1679665200,38.991916,38.991955,38.99192,38.991913,38.99188445
1679665201,38.991913,38.991953,38.99192,38.991912,38.99188209
1679665202,38.991909,38.99195,38.991919,38.991911,38.99187974
1679665203,38.991906,38.991947,38.991919,38.99191,38.99187738
1679665204,38.99015,38.990045,38.991217,38.99198,38.99187503
1679665205,38.991897,38.991942,38.991914,38.99191,38.99187267
1679665206,38.991893,38.991938,38.991914,38.991911,38.99187031
1679665207,38.991892,38.991933,38.991912,38.991911,38.99186796
1679665208,38.991893,38.991933,38.991912,38.991909,38.9918656
1679665210,38.991893,38.991932,38.99191,38.991906,38.99186089
1679665211,38.991891,38.99193,38.99191,38.991904,38.99185853
1679665212,38.99189,38.991933,38.991909,38.9919,38.99185618
1679665213,38.991888,38.991932,38.991909,38.991897,38.99185382
1679665214,38.991886,38.991932,38.991907,38.991894,38.99185147
1679665215,38.991883,38.991927,38.991904,38.991891,38.99184911
1679665216,38.99188,38.991923,38.991902,38.991889,38.99184675
1679665217,38.99188,38.99192,38.991897,38.991887,38.9918444
1679665218,38.99188,38.99192,38.991894,38.991885,38.99184204
1679665219,38.991879,38.991917,38.991894,38.991885,38.99183969
1679665220,38.991876,38.991915,38.99189,38.991884,38.99183733
1679665221,38.991874,38.991912,38.991889,38.991883,38.99183497
1679665222,38.991871,38.991914,38.991889,38.991881,38.99183262
1679665223,38.991868,38.99191,38.991657,38.991872,38.99183026
1679665224,38.991864,38.991909,38.991887,38.991876,38.99182791
1679665225,38.991857,38.991909,38.991787,38.991874,38.99182555
1679665226,38.991851,38.991907,38.991884,38.991873,38.99182319
1679665228,38.991846,38.991907,38.991914,38.99187,38.99181848
1679665229,38.99181,38.991904,38.991872,38.991868,38.99181613
1679665231,38.991845,38.991906,38.991867,38.991866,38.99181141
1679665233,38.991843,38.991899,38.991859,38.991861,38.9918067
1679665235,38.991841,38.991899,38.991856,38.991861,38.99180199
1679665260,38.991799,38.991829,38.991813,38.991818,38.99174309
1679665260,38.991799,38.991829,38.991813,38.991814,38.99174309
1679665261,38.991797,38.991825,38.991813,38.991809,38.99174073
1679665262,38.991794,38.991819,38.991809,38.991798,38.99173838
1679665264,38.991791,38.991811,38.991805,38.991798,38.99173366
1679665265,38.991788,38.991809,38.991803,38.991794,38.99173131
1679665266,38.991785,38.991815,38.9918,38.991789,38.99172895
1679665267,38.991782,38.991811,38.991798,38.991786,38.9917266
1679665268,38.99178,38.991811,38.991798,38.991786,38.99172424
1679665269,38.991778,38.991813,38.991798,38.991787,38.99172188
1679665270,38.991778,38.991815,38.991798,38.991786,38.99171953
1679665271,38.991777,38.99181,38.991798,38.991784,38.99171717
1679665272,38.991775,38.991801,38.9918,38.991782,38.99171482
1679665273,38.991774,38.991796,38.991798,38.991782,38.99171246
1679665274,38.991772,38.991793,38.991798,38.99178,38.9917101
1679665275,38.991768,38.991798,38.991795,38.99178,38.99170775
1679665276,38.991765,38.991796,38.991791,38.99178,38.99170539
1679665277,38.991762,38.991795,38.991786,38.991777,38.99170304
1679665278,38.991761,38.991796,38.991783,38.991775,38.99170068
1679665279,38.991759,38.991795,38.99178,38.991774,38.99169832
1679665280,38.991756,38.991798,38.99178,38.991773,38.99169597
1679665282,38.991754,38.991795,38.991777,38.991768,38.99169126
1679665283,38.991751,38.991791,38.991773,38.991766,38.9916889
1679665284,38.991751,38.991788,38.99177,38.991764,38.99168654
1679665285,38.99175,38.991783,38.99177,38.99176,38.99168419
1679665286,38.991749,38.991786,38.991768,38.991759,38.99168183
1679665287,38.991749,38.991781,38.991765,38.991758,38.99167948
1679665288,38.991751,38.99178,38.991765,38.991755,38.99167712
1679665289,38.991755,38.991775,38.991765,38.991753,38.99167476
1679665290,38.991758,38.99177,38.991763,38.991751,38.99167241
1679665291,38.991758,38.99177,38.99176,38.991746,38.99167005
1679665292,38.991758,38.991767,38.991763,38.991746,38.9916677
1679665293,38.991758,38.991765,38.991765,38.991741,38.99166534
1679665294,38.991757,38.991762,38.991763,38.991738,38.99166298
1679665295,38.991756,38.991758,38.991758,38.991734,38.99166063
1679665296,38.991753,38.991753,38.991755,38.991727,38.99165827
1679665297,38.991752,38.991752,38.991752,38.99172,38.99165592
1679665298,38.991749,38.991745,38.991749,38.991915,38.99165356
1679665300,38.991745,38.991735,38.99174,38.991711,38.99164885
1679665301,38.991739,38.991733,38.991737,38.991708,38.99164649
1679665302,38.991736,38.991732,38.991734,38.991704,38.99164414
1679665303,38.991734,38.99173,38.99173,38.991701,38.99164178
1679665304,38.991734,38.991727,38.991725,38.991697,38.99163942
1679665305,38.991734,38.991725,38.991722,38.991694,38.99163707
1679665306,38.991733,38.991724,38.99172,38.991692,38.99163471
1679665307,38.991734,38.99172,38.991715,38.99169,38.99163236
1679665308,38.991734,38.991717,38.99171,38.991689,38.99163
1679665309,38.991732,38.99171,38.991705,38.991688,38.99162764
1679665310,38.991732,38.991705,38.991702,38.991688,38.99162529
1679665311,38.991727,38.991702,38.9917,38.991687,38.99162293
1679665312,38.991719,38.991697,38.991697,38.991683,38.99162058
1679665313,38.991711,38.991692,38.991694,38.991677,38.99161822
1679665314,38.991707,38.991692,38.991691,38.99167,38.99161586
1679665315,38.991702,38.991687,38.991687,38.991664,38.99161351
1679665316,38.991699,38.99168,38.991682,38.991662,38.99161115
1679665318,38.991696,38.991682,38.991674,38.991658,38.99160644
1679665319,38.991697,38.991682,38.99167,38.991655,38.99160408
1679665320,38.991698,38.991682,38.991666,38.991653,38.99160173
1679665321,38.991698,38.991681,38.991664,38.991647,38.99159937
1679665322,38.991698,38.991681,38.991662,38.991647,38.99159702
1679665323,38.991697,38.991674,38.991662,38.99165,38.99159466
1679665324,38.991695,38.991674,38.991662,38.991653,38.9915923
1679665325,38.991694,38.991669,38.991662,38.991651,38.99158995
1679665326,38.991692,38.991666,38.99166,38.991647,38.99158759
1679665327,38.991689,38.99166,38.99166,38.991643,38.99158524
1679665328,38.991689,38.991659,38.991654,38.991638,38.99158288
1679665329,38.991685,38.991657,38.991654,38.991634,38.99158052
1679665330,38.991683,38.991654,38.991653,38.991629,38.99157817
1679665331,38.991681,38.991652,38.991653,38.991622,38.99157581
1679665332,38.991679,38.991649,38.991647,38.991618,38.99157346
1679665333,38.991678,38.991647,38.991644,38.991615,38.9915711
1679665334,38.991674,38.991646,38.991639,38.991612,38.99156874
1679665336,38.99167,38.991643,38.991626,38.991605,38.99156403
1679665337,38.991667,38.991639,38.991624,38.991604,38.99156168
1679665338,38.991665,38.991639,38.991621,38.991603,38.99155932
1679665339,38.991661,38.991636,38.991621,38.991601,38.99155696
1679665340,38.991658,38.991634,38.991619,38.991599,38.99155461
1679665341,38.991654,38.991629,38.991616,38.991594,38.99155225
1679665342,38.991651,38.991624,38.991614,38.99159,38.9915499
1679665343,38.99165,38.991619,38.991618,38.991587,38.99154754
1679665344,38.991649,38.991616,38.991616,38.991584,38.99154518
1679665345,38.991646,38.991612,38.991616,38.991582,38.99154283
1679665346,38.991643,38.991608,38.991618,38.991584,38.99154047
1679665347,38.991641,38.991602,38.991618,38.991589,38.99153812
1679665348,38.991638,38.991602,38.991619,38.991593,38.99153576
1679665349,38.991634,38.991601,38.991623,38.991592,38.9915334
1679665350,38.99163,38.991604,38.991621,38.99159,38.99153105
1679665351,38.991625,38.991603,38.991621,38.991589,38.99152869
1679665352,38.99162,38.991604,38.991619,38.991589,38.99152634
1679665354,38.991615,38.991599,38.991611,38.99158,38.99152162
1679665355,38.991608,38.991596,38.991606,38.991575,38.99151927
